DMC Code,Name,Color
Ecru,Ecru/off-white,0xfff7e7
315,Antique Mauve - MED DK,0x7d4246
Blanc,White,0xeeeeee
316,Antique Mauve - MED,0xbc757f
B5200,Snow White,0xfcfcff
317,Pewter Gray,0x6d6469
White,White,0xffffff
318,Steel Gray - LT,0x999b9d
150,Red - BRIGHT,0xcf0053
319,Pistachio Green - VY DK,0x3a553b
151,Pink,0xffcbd7
320,Pistachio Green - MED,0x608c59
152,Tawny - DK,0xe1a1a1
321,Red,0xbd1136
153,Lilac,0xeac5eb
322,Baby Blue,0x3a609d
154,Red - VY DK,0x4b233a
326,Rose - VY DK,0xac1c37
155,Forget-me-not Blue,0x9774b6
327,Violet,0x5e0f77
156,Blue - MED,0x8577b4
333,Blue Violet - VY DK,0x6e2e9b
157,Blue - LT,0xb5b8ea
334,Baby Blue - MED,0x6085b8
158,Blue - DK,0x393068
335,Rose,0xd63d57
159,Petrol Blue - LT,0xbcb5de
336,Blue,0x0c275e
160,Petrol Blue - MED,0x8178a9
340,Blue Violet - MED,0x996dc3
161,Petrol Blue - DK,0x60568b
341,Blue Violet - LT,0xa39ad7
162,Baby Blue - LT,0xcae7f0
347,Salmon - VY DK,0xab1b33
163,Green,0x557a60
349,Coral - DK,0xc62c38
164,Green - LT,0xbae4b6
350,Coral - MED,0xde3f40
165,Green - BRIGHT,0xe1f477
351,Coral,0xed625b
166,Lime Green,0xadc238
352,Coral - LT,0xf78372
167,Khaki Brown,0x855d31
353,Peach,0xfdb4a1
168,Silver Gray,0xb1aeb7
355,Terra Cotta - DK,0x97382b
169,Pewter Gray,0x827d7d
356,Terra Cotta - MED,0xbe5c4b
208,Lavender - VY DK,0x9442a7
367,Pistachio Green - DK,0x446b45
209,Lavender - DK,0xba72c6
368,Pistachio Green - LT,0x7fc66d
210,Lavender - MED,0xd49fe1
369,Pistachio Green - VY LT,0xcdefa6
211,Lavender - LT,0xe5bded
370,Mustard - MED,0x917245
221,Shell Pink - VY DK,0x792631
371,Mustard,0x9f8352
223,Shell Pink - LT,0xbb6864
372,Mustard - LT,0xad9564
224,Shell Pink - VY LT,0xe2a598
400,Mahogany - DK,0x813718
225,Shell Pink - ULT VY LT,0xf8d9cd
402,Mahogany - VY LT,0xef9e74
300,Mahogany - VY DK,0x6c3116
407,Desert Sand - DK,0xb77159
301,Mahogany - MED,0xaa5237
413,Pewter Gray - DK,0x4a4749
304,Red - MED,0xa10c39
414,Steel Gray - DK,0x766e72
307,Lemon,0xfde949
415,Pearl Gray,0xb8b9bd
309,Rose - DK,0xba2044
420,Hazelnut Brown - DK,0x855a30
310,Black,0x000000
422,Hazelnut Brown - LT,0xc99a67
311,Blue - MED,0x002a64
433,Brown - MED,0x73421e
312,Baby Blue - VY DK,0x1f3279
434,Brown - LT,0x8f5332
435,Brown - VY LT,0xa96538
600,Cranberry - VY DK,0xbf1c48
436,Tan,0xc78559
601,Cranberry - DK,0xc62a53
437,Tan - LT,0xdaa26f
602,Cranberry - MED,0xd63f68
444,Lemon - DK,0xf5bc13
603,Cranberry,0xed5d84
445,Lemon - LT,0xfcf999
604,Cranberry - LT,0xf793b2
451,Shell Gray - DK,0x887773
605,Cranberry - VY LT,0xfbacc4
452,Shell Gray - MED,0xad9994
606,Orange-red - BRIGHT,0xf70f00
453,Shell Gray - LT,0xccb8aa
608,Orange - BRIGHT,0xfd480c
469,Avocado Green,0x5b6533
610,Drab Brown - DK,0x6b5039
470,Avocado Green - LT,0x72813e
611,Drab Brown,0x7c5f46
471,Avocado Green - VY LT,0x9eb357
612,Drab Brown - LT,0xa6885e
472,Avocado Green - ULT LT,0xd1de75
613,Drab Brown - VY LT,0xb99f72
498,Red - DK,0x970b2c
632,Desert Sand - ULT VY DK,0x7f4232
500,Blue Green - VY DK,0x1d362a
640,Beige Gray - VY DK,0x817868
501,Blue Green - DK,0x2f5446
642,Beige Gray - DK,0x958d79
502,Blue Green,0x57826e
644,Beige Gray - MED,0xc4bea6
503,Blue Green - MED,0x89b89f
645,Beaver Gray - VY DK,0x5d5d54
504,Blue Green - VY LT,0xacdac1
646,Beaver Gray - DK,0x6b6860
505,Grass Green - DK,0xceddc1
647,Beaver Gray - MED,0x908e85
517,Wedgewood - DK,0x216285
648,Beaver Gray - LT,0xa7a69f
518,Wedgewood - LT,0x50819c
666,Red - BRIGHT,0xce1b33
519,Sky Blue,0x94b7cb
676,Old Gold - LT,0xecbf7d
520,Fern Green - DK,0x384526
677,Old Gold - VY LT,0xf2dc9f
522,Fern Green,0x808b6e
680,Old Gold - DK,0xb07b46
523,Fern Green - LT,0x959f7a
699,Green,0x075b26
524,Fern Green - VY LT,0xaea78e
700,Green - BRIGHT,0x076c34
535,Ash Gray - VY LT,0x4b4b49
701,Green - LT,0x217c36
543,Beige Brown - ULT VY LT,0xead0b5
702,Kelly Green,0x379130
550,Violet - VY DK,0x580e5c
703,Chartreuse,0x63b330
552,Violet - MED,0x902f99
704,Chartreuse - BRIGHT,0x88c53a
553,Violet,0xa449ac
712,Cream,0xf6efda
554,Violet - LT,0xdc9cde
718,Plum,0xcb2089
561,Jade - VY DK,0x285e48
720,Orange Spice - DK,0xc83a24
